Country Name;Country Code;2011;2012;2013;2014;2015;2016;2017;2018;2019
Cambodia;KHM;214000;..;144000;151000;8900;8300;15000;37000;70000
Indonesia;IDN;7400;104000;427000;943000;204000;1246000;365000;853000;463000
Philippines;PHL;2499000;3859000;7022000;5787000;2221000;5930000;2529000;3802000;4094000
China;CHN;4490000;5731000;5924000;3612000;3602000;7434000;4473000;3762000;4034000
Malaysia;MYS;24000;22000;43000;256000;21000;18000;82000;38000;63000
Thailand;THA;1645000;3400;13000;27000;240;90000;50000;4600;61000
Brunei Darussalam;BRN;..;..;..;51;..;..;94;..;..
Lao PDR;LAO;50000;..;9900;790;12000;660;190;19000;103000
Myanmar;MMR;13000;74000;223000;81000;1618000;509000;351000;298000;270000
Singapore;SGP;..;..;..;..;..;..;..;..;..
Timor-Leste;TLS;..;..;1300;2300;310;110;..;..;..
Vietnam;VNM;230000;15000;1040000;68000;9600;81000;633000;143000;89000
East Asia & Pacific;EAS;10107600;10482800;15612742;11683477;8304670;16427753;8602204;9330868;9602104
South Asia;SAS;2957000;11777600;4063000;4981000;7950900;3566090;2839876;3302120;9529300
World;WLD;15015596;30148600;22125871;19120870;19189827;24213693;18776796;17180954;24804408
